> 6688    1 MEDITERRANEAN RIDGE, TRENCH SW OF GREECE  
> 6688    2 TRANSFORM FAULT SE OF GREECE                                          
> 92 1    1  NCATL RIDGE AXIS                                                     
  4778183.00   4797409.93
  4795926.04   4760071.00
  4769606.43   4744753.65
  4777422.58   4724353.94
  4752938.47   4709458.45
  4761552.06   4688750.81
  4739196.96   4675148.16
  4753886.64   4640045.04
  4724098.14   4624859.25
  4758525.97   4548626.62
  4735477.85   4536978.30
  4742466.83   4514994.41
  4733813.19   4509276.84
  4756821.96   4442006.94
  4744067.02   4434327.66
  4770736.93   4341808.82
  4590189.10   4259557.03
  4614259.22   4173247.93
  4596609.59   4164755.38
  4601999.02   4141511.44
  4582735.78   4130080.51
  4598633.41   4064465.42
  4588280.40   4060238.21
  4603091.84   3995401.44
  4585678.00   3989344.10
  4591574.09   3953358.75
  4409675.30   3883970.24
  4442130.88   3788332.01
  4429153.23   3783472.79
  4430786.64   3576071.10
  4413177.43   3568534.76
  4404414.78   3464979.13
  4375411.09   3455818.22
  4379726.50   3259089.40
  4309515.60   3239366.72
  4311665.40   3147836.05
  4305969.14   3144826.26
  4301306.26   3040274.53
  4292291.09   3037698.25
  4289579.35   2928381.88
  4280447.73   2925292.07
  4287093.93   2796062.23
  4272213.36   2792577.22
  4282246.76   2650998.40
  4288476.37   2651640.75
  4289845.21   2620382.52
  4265884.31   2614598.69
  4262517.10   2481146.37
  4225578.92   2476209.37
  4218299.55   2375680.14
  4208565.97   2373715.85
  4205953.86   2273465.62
  4406699.02   2304842.80
  4426465.65   2209694.16
  4420616.78   2209223.22
  4451724.87   2045715.56
  4433137.70   2042417.28
  4442465.64   1960168.23
  4455394.05   1960508.59
  4464514.34   1870152.88
  4436342.02   1865567.99
  4448193.73   1748372.07
  4439934.26   1749433.73
  4450943.76   1621428.06
  4445074.04   1620736.55
  4452580.30   1547254.68
  4443368.71   1544756.66
  4456036.36   1426799.23
  4472037.28   1428057.72
  4481359.66   1289964.58
  4489457.33   1289692.98
  4496971.25   1124493.14
  4722795.43   1150599.23
> Pen up flag, same line
  4784153.90   4795443.16
  4860310.79   4844086.47
  4831642.36   4901694.99
  4860039.62   4922267.23
  4827738.18   5037002.13
  4844181.39   5049955.02
  4784715.56   5196896.03
  4795341.27   5209633.49
  4745496.40   5283134.75
  4741058.56   5287220.93
  4738664.13   5293045.25
  4736031.95   5296860.09
  4730043.63   5291132.58
  4720900.48   5302426.95
  4712816.99   5311834.75
  4706008.40   5323613.48
  4698522.29   5333943.64
  4689872.89   5342860.46
  4685349.75   5347827.09
