# export from unicycle
# n stationname x1 x2 x3
00001 00001 -282000.000000 -23000.000000 0.000000
00002 00002 -282000.000000 -21000.000000 0.000000
00003 00003 -282000.000000 -19000.000000 0.000000
00004 00004 -282000.000000 -17000.000000 0.000000
00005 00005 -282000.000000 -15000.000000 0.000000
00006 00006 -282000.000000 -13000.000000 0.000000
00007 00007 -282000.000000 -11000.000000 0.000000
00008 00008 -280000.000000 -23000.000000 0.000000
00009 00009 -280000.000000 -21000.000000 0.000000
00010 00010 -280000.000000 -19000.000000 0.000000
00011 00011 -280000.000000 -17000.000000 0.000000
00012 00012 -280000.000000 -15000.000000 0.000000
00013 00013 -280000.000000 -13000.000000 0.000000
00014 00014 -280000.000000 -11000.000000 0.000000
00015 00015 -280000.000000 -9000.000000 0.000000
00016 00016 -280000.000000 -7000.000000 0.000000
00017 00017 -278000.000000 -25000.000000 0.000000
00018 00018 -278000.000000 -23000.000000 0.000000
00019 00019 -278000.000000 -21000.000000 0.000000
00020 00020 -278000.000000 -19000.000000 0.000000
00021 00021 -278000.000000 -17000.000000 0.000000
00022 00022 -278000.000000 -15000.000000 0.000000
00023 00023 -278000.000000 -13000.000000 0.000000
00024 00024 -278000.000000 -11000.000000 0.000000
00025 00025 -278000.000000 -9000.000000 0.000000
00026 00026 -278000.000000 -7000.000000 0.000000
00027 00027 -276000.000000 -25000.000000 0.000000
00028 00028 -276000.000000 -23000.000000 0.000000
00029 00029 -276000.000000 -21000.000000 0.000000
00030 00030 -276000.000000 -19000.000000 0.000000
00031 00031 -276000.000000 -17000.000000 0.000000
00032 00032 -276000.000000 -15000.000000 0.000000
00033 00033 -276000.000000 -13000.000000 0.000000
00034 00034 -276000.000000 -11000.000000 0.000000
00035 00035 -276000.000000 -9000.000000 0.000000
00036 00036 -276000.000000 -7000.000000 0.000000
00037 00037 -276000.000000 -5000.000000 0.000000
00038 00038 -274000.000000 -25000.000000 0.000000
00039 00039 -274000.000000 -23000.000000 0.000000
00040 00040 -274000.000000 -21000.000000 0.000000
00041 00041 -274000.000000 -19000.000000 0.000000
00042 00042 -274000.000000 -17000.000000 0.000000
00043 00043 -274000.000000 -15000.000000 0.000000
00044 00044 -274000.000000 -13000.000000 0.000000
00045 00045 -274000.000000 -11000.000000 0.000000
00046 00046 -274000.000000 -9000.000000 0.000000
00047 00047 -274000.000000 -7000.000000 0.000000
00048 00048 -274000.000000 -5000.000000 0.000000
00049 00049 -274000.000000 -3000.000000 0.000000
00050 00050 -272000.000000 -27000.000000 0.000000
00051 00051 -272000.000000 -25000.000000 0.000000
00052 00052 -272000.000000 -23000.000000 0.000000
00053 00053 -272000.000000 -21000.000000 0.000000
00054 00054 -272000.000000 -19000.000000 0.000000
00055 00055 -272000.000000 -17000.000000 0.000000
00056 00056 -272000.000000 -15000.000000 0.000000
00057 00057 -272000.000000 -13000.000000 0.000000
00058 00058 -272000.000000 -11000.000000 0.000000
00059 00059 -272000.000000 -9000.000000 0.000000
00060 00060 -272000.000000 -7000.000000 0.000000
00061 00061 -272000.000000 -5000.000000 0.000000
00062 00062 -272000.000000 -3000.000000 0.000000
00063 00063 -270000.000000 -27000.000000 0.000000
00064 00064 -270000.000000 -25000.000000 0.000000
00065 00065 -270000.000000 -23000.000000 0.000000
00066 00066 -270000.000000 -21000.000000 0.000000
00067 00067 -270000.000000 -19000.000000 0.000000
00068 00068 -270000.000000 -17000.000000 0.000000
00069 00069 -270000.000000 -15000.000000 0.000000
00070 00070 -270000.000000 -13000.000000 0.000000
00071 00071 -270000.000000 -11000.000000 0.000000
00072 00072 -270000.000000 -9000.000000 0.000000
00073 00073 -270000.000000 -7000.000000 0.000000
00074 00074 -270000.000000 -5000.000000 0.000000
00075 00075 -270000.000000 -3000.000000 0.000000
00076 00076 -268000.000000 -29000.000000 0.000000
00077 00077 -268000.000000 -27000.000000 0.000000
00078 00078 -268000.000000 -25000.000000 0.000000
00079 00079 -268000.000000 -23000.000000 0.000000
00080 00080 -268000.000000 -21000.000000 0.000000
00081 00081 -268000.000000 -19000.000000 0.000000
00082 00082 -268000.000000 -17000.000000 0.000000
00083 00083 -268000.000000 -15000.000000 0.000000
00084 00084 -268000.000000 -13000.000000 0.000000
00085 00085 -268000.000000 -11000.000000 0.000000
00086 00086 -268000.000000 -9000.000000 0.000000
00087 00087 -268000.000000 -7000.000000 0.000000
00088 00088 -268000.000000 -5000.000000 0.000000
00089 00089 -268000.000000 -3000.000000 0.000000
00090 00090 -268000.000000 19000.000000 0.000000
00091 00091 -268000.000000 21000.000000 0.000000
00092 00092 -266000.000000 -29000.000000 0.000000
00093 00093 -266000.000000 -27000.000000 0.000000
00094 00094 -266000.000000 -25000.000000 0.000000
00095 00095 -266000.000000 -23000.000000 0.000000
00096 00096 -266000.000000 -21000.000000 0.000000
00097 00097 -266000.000000 -19000.000000 0.000000
00098 00098 -266000.000000 -17000.000000 0.000000
00099 00099 -266000.000000 -15000.000000 0.000000
00100 00100 -266000.000000 -13000.000000 0.000000
00101 00101 -266000.000000 -11000.000000 0.000000
00102 00102 -266000.000000 -9000.000000 0.000000
00103 00103 -266000.000000 -7000.000000 0.000000
00104 00104 -266000.000000 -5000.000000 0.000000
00105 00105 -266000.000000 -3000.000000 0.000000
00106 00106 -266000.000000 19000.000000 0.000000
00107 00107 -266000.000000 21000.000000 0.000000
00108 00108 -266000.000000 23000.000000 0.000000
00109 00109 -266000.000000 25000.000000 0.000000
00110 00110 -266000.000000 27000.000000 0.000000
00111 00111 -264000.000000 -23000.000000 0.000000
00112 00112 -264000.000000 -21000.000000 0.000000
00113 00113 -264000.000000 -19000.000000 0.000000
00114 00114 -264000.000000 -17000.000000 0.000000
00115 00115 -264000.000000 -15000.000000 0.000000
00116 00116 -264000.000000 -13000.000000 0.000000
00117 00117 -264000.000000 -11000.000000 0.000000
00118 00118 -264000.000000 -9000.000000 0.000000
00119 00119 -264000.000000 -7000.000000 0.000000
00120 00120 -264000.000000 -5000.000000 0.000000
00121 00121 -264000.000000 19000.000000 0.000000
00122 00122 -264000.000000 21000.000000 0.000000
00123 00123 -264000.000000 23000.000000 0.000000
00124 00124 -264000.000000 25000.000000 0.000000
00125 00125 -264000.000000 27000.000000 0.000000
00126 00126 -262000.000000 -45000.000000 0.000000
00127 00127 -262000.000000 -21000.000000 0.000000
00128 00128 -262000.000000 -19000.000000 0.000000
00129 00129 -262000.000000 -17000.000000 0.000000
00130 00130 -262000.000000 -15000.000000 0.000000
00131 00131 -262000.000000 -13000.000000 0.000000
00132 00132 -262000.000000 -11000.000000 0.000000
00133 00133 -262000.000000 17000.000000 0.000000
00134 00134 -262000.000000 19000.000000 0.000000
00135 00135 -262000.000000 21000.000000 0.000000
00136 00136 -262000.000000 23000.000000 0.000000
00137 00137 -262000.000000 25000.000000 0.000000
00138 00138 -262000.000000 27000.000000 0.000000
00139 00139 -260000.000000 -47000.000000 0.000000
00140 00140 -260000.000000 -45000.000000 0.000000
00141 00141 -260000.000000 -43000.000000 0.000000
00142 00142 -260000.000000 -41000.000000 0.000000
00143 00143 -260000.000000 -21000.000000 0.000000
00144 00144 -260000.000000 -19000.000000 0.000000
00145 00145 -260000.000000 -17000.000000 0.000000
00146 00146 -260000.000000 -15000.000000 0.000000
00147 00147 -260000.000000 -13000.000000 0.000000
00148 00148 -260000.000000 17000.000000 0.000000
00149 00149 -260000.000000 19000.000000 0.000000
