time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-07-18T21:22:43.800Z,33.6878,131.5413,123.4,4.3,mb,,84,0.79,0.83,us,us20006grd,2016-07-26T03:00:57.024Z,"17km NNE of Bungo-Takada-shi, Japan",earthquake,5.2,5.1,0.218,6,reviewed,us,us
2016-07-09T09:05:20.140Z,32.7632,130.5265,10,4.2,mb,,102,0.465,0.76,us,us1000626n,2016-07-09T09:22:05.940Z,"15km NW of Uto, Japan",earthquake,3.7,1.9,0.159,11,reviewed,us,us
2016-07-02T21:39:27.040Z,29.8026,131.9077,10,4.2,mb,,68,2.113,0.5,us,us100061w7,2016-07-21T22:48:33.163Z,"135km SE of Nishinoomote, Japan",earthquake,5,1.8,0.152,12,reviewed,us,us
2016-07-01T05:39:58.300Z,33.5263,131.7613,78.9,4.9,mb,,54,0.841,0.86,us,us10005z0q,2016-07-24T05:51:34.967Z,"5km SSE of Kunisaki-shi, Japan",earthquake,6,6,0.065,73,reviewed,us,us
2016-06-18T11:46:55.880Z,32.677,130.584,9.43,4.8,mb,,85,1.169,0.63,us,us2000658i,2016-07-30T06:42:48.040Z,"7km W of Uto, Japan",earthquake,5.2,4.2,0.054,105,reviewed,us,us
2016-06-13T06:54:17.370Z,32.1113,130.4792,10,4.4,mb,,114,0.6,1.06,us,us200065hy,2016-08-01T12:58:12.040Z,"11km ENE of Izumi, Japan",earthquake,3.7,1.9,0.118,21,reviewed,us,us
2016-06-12T13:08:15.690Z,32.3762,130.5085,10,4.5,mb,,72,0.808,0.77,us,us200063y7,2016-07-12T13:43:04.040Z,"16km SSW of Yatsushiro, Japan",earthquake,3.9,1.6,0.068,64,reviewed,us,us
2016-06-08T00:56:39.650Z,30.0364,131.1389,19.42,4.8,mb,,113,1.582,1.1,us,us200062pc,2016-07-17T21:04:13.040Z,"78km S of Nishinoomote, Japan",earthquake,7.1,4.4,0.06,86,reviewed,us,us
2016-06-07T20:48:04.900Z,29.9613,131.1423,45.78,4.7,mb,,177,1.653,1.29,us,us2000644f,2016-07-12T17:36:00.040Z,"86km S of Nishinoomote, Japan",earthquake,7.9,8.7,0.207,8,reviewed,us,us
2016-06-04T05:56:26.960Z,31.7956,128.8191,1.65,4.8,mb,,74,1.422,0.71,us,us20006209,2016-07-17T05:03:14.040Z,"98km S of Fukue, Japan",earthquake,3,4.6,0.066,70,reviewed,us,us
2016-05-31T10:49:35.470Z,31.7816,132.5685,10,4.4,mb,,126,1.959,1.1,us,us200061td,2016-07-07T10:06:17.040Z,"108km ESE of Takanabe, Japan",earthquake,6.7,1.8,0.17,10,reviewed,us,us
2016-05-24T11:56:41.610Z,30.5901,132.7275,10,4.4,mb,,123,2.156,0.74,us,us10005jk1,2016-08-03T22:33:43.040Z,"166km E of Nishinoomote, Japan",earthquake,8,1.9,0.092,34,reviewed,us,us
2016-05-23T15:17:42.600Z,31.1759,129.2631,15.47,4.8,mb,,97,1.07,0.69,us,us10005jbs,2016-08-03T22:33:43.040Z,"100km W of Makurazaki, Japan",earthquake,5.2,4.8,0.078,50,reviewed,us,us
2016-05-19T22:53:47.000Z,31.4162,130.3966,153.96,4.3,mb,,34,0.104,0.97,us,us20005y2p,2016-07-22T19:39:14.040Z,"7km E of Kaseda, Japan",earthquake,7.1,6.2,0.074,52,reviewed,us,us
