time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-15T06:27:52.420Z,32.8657,130.7484,5.97,4.4,mb,,106,0.28,0.71,us,us20005idk,2016-06-27T23:01:35.040Z,"7km ESE of Ueki, Japan",earthquake,4.7,3.6,0.149,13,reviewed,us,us
2016-04-15T04:50:01.860Z,32.8197,130.6781,10,4.2,mb,,103,0.347,0.89,us,us20005kyu,2016-06-27T23:01:34.040Z,"6km WNW of Kumamoto-shi, Japan",earthquake,4.4,1.9,0.303,3,reviewed,us,us
2016-04-14T22:46:53.490Z,32.7627,130.7115,10,4.5,mb,,89,0.387,1.1,us,us20005i7c,2016-06-21T01:14:13.040Z,"4km SW of Kumamoto-shi, Japan",earthquake,3.5,1.8,0.082,44,reviewed,us,us
2016-04-14T22:29:56.820Z,32.8511,130.7839,10,4.6,mb,,78,0.284,0.65,us,us20005i75,2016-06-21T01:14:13.040Z,"7km NNE of Kumamoto-shi, Japan",earthquake,3.6,1.8,0.094,34,reviewed,us,us
2016-04-14T20:10:37.370Z,32.7456,130.7048,10,4.7,mb,,85,0.405,0.74,us,us20005i51,2016-06-21T01:14:13.040Z,"5km SW of Kumamoto-shi, Japan",earthquake,4.4,1.6,0.064,73,reviewed,us,us
2016-04-14T17:14:36.340Z,32.7113,130.6768,10,4.5,mb,,91,0.445,0.88,us,us20005i33,2016-06-21T01:14:13.040Z,"3km NNE of Uto, Japan",earthquake,4.3,1.9,0.097,31,reviewed,us,us
2016-04-14T16:53:02.170Z,32.6909,130.7685,10.68,4.6,mwr,,85,0.442,0.75,us,us20005i2q,2016-06-21T01:14:13.040Z,"9km E of Uto, Japan",earthquake,4.9,4.1,0.086,13,reviewed,us,us
2016-04-14T15:50:31.400Z,32.7422,130.7298,10,4.5,mb,,85,0.401,0.78,us,us20005i1z,2016-06-21T01:14:13.040Z,"5km SSW of Kumamoto-shi, Japan",earthquake,1.8,1.9,0.087,39,reviewed,us,us
2016-04-14T15:34:17.430Z,32.7017,130.7679,10,4.7,mb,,85,0.431,0.73,us,us20005i1r,2016-06-21T01:14:12.040Z,"9km ENE of Uto, Japan",earthquake,5.5,1.5,0.058,91,reviewed,us,us
2016-04-14T15:06:22.190Z,32.716,130.6904,10,5.3,mb,,22,0.436,0.97,us,us20005i1i,2016-06-21T01:14:12.040Z,"4km NNE of Uto, Japan",earthquake,3,1.7,0.044,174,reviewed,us,us
2016-04-14T15:03:47.240Z,32.6973,130.7204,8,6,mww,,32,0.446,0.86,us,us20005i1a,2016-07-01T10:56:32.000Z,"5km ENE of Uto, Japan",earthquake,3.9,1.7,,,reviewed,us,us
2016-04-14T14:43:41.580Z,32.7805,130.7516,10,4.9,mb,,85,0.359,0.82,us,us20005i14,2016-06-21T01:14:12.040Z,"1km SE of Kumamoto-shi, Japan",earthquake,4.3,1.9,0.085,43,reviewed,us,us
2016-04-14T14:29:57.880Z,32.7574,130.8119,10,4.5,mb,,101,0.37,0.85,us,us20005i1b,2016-06-21T01:14:12.040Z,"7km ESE of Kumamoto-shi, Japan",earthquake,4.1,1.5,0.124,19,reviewed,us,us
2016-04-14T14:28:13.360Z,32.7911,130.728,10,4.4,mb,,85,0.355,0.88,us,us20005i10,2016-06-21T01:14:12.040Z,"1km W of Kumamoto-shi, Japan",earthquake,3.9,1.9,0.149,13,reviewed,us,us
2016-04-14T13:43:15.870Z,32.7076,130.6892,10,4.5,mb,,107,0.445,0.94,us,us20005i0p,2016-06-21T01:14:12.040Z,"3km NE of Uto, Japan",earthquake,3.3,1.9,0.145,14,reviewed,us,us
2016-04-14T13:38:43.590Z,32.6823,130.7151,10,4.8,mb,,85,0.461,0.83,us,us20005i0k,2016-06-21T01:14:12.040Z,"4km E of Uto, Japan",earthquake,2.9,1.9,0.088,40,reviewed,us,us
2016-04-14T13:22:19.040Z,32.6649,130.687,10,4.8,mb,,100,0.485,0.86,us,us20005i0i,2016-06-21T01:14:12.040Z,"2km SE of Uto, Japan",earthquake,4.6,1.9,0.107,27,reviewed,us,us
2016-04-14T13:07:35.490Z,32.7429,130.8235,10,5.4,mww,,58,0.383,0.9,us,us20005i0c,2016-06-21T01:14:12.040Z,"9km SE of Kumamoto-shi, Japan",earthquake,6.1,1.8,,,reviewed,us,us
2016-04-14T13:06:53.440Z,32.8259,130.6901,10,4.4,mb,,101,0.337,1.27,us,us20005kv9,2016-06-21T01:14:12.040Z,"6km NW of Kumamoto-shi, Japan",earthquake,5,1.9,0.179,9,reviewed,us,us
2016-04-14T12:42:24.870Z,32.5394,130.6376,10,4.7,mb,,51,0.617,0.85,us,us20005hzv,2016-06-21T01:14:12.040Z,"5km NE of Yatsushiro, Japan",earthquake,5.1,1.9,0.071,60,reviewed,us,us
2016-04-14T12:26:35.730Z,32.788,130.7042,9,6.2,mww,,18,0.366,1.14,us,us20005hzn,2016-06-21T01:14:12.040Z,"3km W of Kumamoto-shi, Japan",earthquake,4.6,1.7,,,reviewed,us,us
2016-03-14T07:03:17.710Z,29.8888,128.9567,210.5,5.5,mww,,12,2.066,0.89,us,us10004xbb,2016-05-21T00:05:30.040Z,"176km NNW of Naze, Japan",earthquake,6.7,1.8,,,reviewed,us,us
2016-03-03T07:11:16.090Z,31.7483,131.4272,55.49,5.3,mb,,54,0.864,0.93,us,us10004u9q,2016-05-06T23:34:25.040Z,"17km NNE of Nichinan, Japan",earthquake,2.2,5.2,0.055,113,reviewed,us,us
2016-02-23T10:05:44.670Z,31.0644,130.2156,146.3,4.2,mb,,102,0.487,1.09,us,us10004sxc,2016-05-03T23:44:18.040Z,"24km SSW of Makurazaki, Japan",earthquake,11.4,6.2,0.235,5,reviewed,us,us
2016-02-22T16:47:46.620Z,30.6069,132.7973,10,4.3,mb,,124,2.204,0.76,us,us10004smf,2016-05-03T23:44:17.040Z,"172km E of Nishinoomote, Japan",earthquake,4.2,1.9,0.119,20,reviewed,us,us
2016-02-20T19:14:37.440Z,30.0849,131.0844,40.81,4.6,mb,,122,1.52,0.6,us,us10004rf6,2016-05-03T23:44:14.040Z,"72km S of Nishinoomote, Japan",earthquake,6.9,7.2,0.065,70,reviewed,us,us
2016-01-21T18:07:25.500Z,30.5767,132.8069,10,4.2,mb,,143,2.224,0.48,us,us20004ush,2016-04-06T17:30:29.040Z,"174km E of Nishinoomote, Japan",earthquake,8.6,1.9,0.146,13,reviewed,us,us
2016-01-18T22:55:36.160Z,30.6712,132.776,10,4.3,mb,,123,2.161,0.85,us,us10004gdi,2016-04-06T17:30:26.040Z,"169km SE of Nichinan, Japan",earthquake,7.2,1.8,0.116,21,reviewed,us,us
2016-01-18T03:35:53.570Z,30.7162,132.75,10,4.6,mb,,123,2.123,0.76,us,us10004faa,2016-04-06T17:30:25.040Z,"164km SE of Nichinan, Japan",earthquake,8.8,1.9,0.089,38,reviewed,us,us
2016-01-17T23:38:47.780Z,30.7066,132.834,10,4.6,mb,,106,2.193,1.15,us,us10004gc5,2016-04-06T17:30:24.040Z,"171km SE of Nichinan, Japan",earthquake,6.2,1.9,0.122,20,reviewed,us,us
2016-01-17T14:23:51.510Z,30.6138,132.7949,8.95,4.6,mb,,123,2.199,0.84,us,us10004gbr,2016-04-06T17:30:24.040Z,"172km E of Nishinoomote, Japan",earthquake,7.7,4.2,0.113,23,reviewed,us,us
2016-01-17T13:01:12.220Z,30.6448,132.7969,10,4.8,mb,,100,2.188,0.57,us,us10004f77,2016-05-13T18:58:29.000Z,"172km SE of Nichinan, Japan",earthquake,7.2,1.9,0.073,57,reviewed,us,us
2016-01-15T04:17:00.870Z,32.1885,131.0709,115.61,4,mb,,149,0.857,0.65,us,us10004g0s,2016-04-06T17:30:20.040Z,"24km NNE of Kobayashi, Japan",earthquake,6.1,9,0.259,4,reviewed,us,us
2016-01-13T12:25:55.310Z,31.9872,130.9355,114.42,4.4,mb,,101,0.629,0.94,us,us10004fld,2016-03-30T02:27:58.040Z,"4km W of Kobayashi, Japan",earthquake,6.9,6.2,0.24,5,reviewed,us,us
2016-01-13T12:10:08.870Z,30.6921,132.7602,27.45,4.4,mb,,142,2.14,0.77,us,us10004flc,2016-03-30T02:27:58.040Z,"166km SE of Nichinan, Japan",earthquake,8.2,1.2,0.179,10,reviewed,us,us
2016-01-09T04:48:06.340Z,30.6366,132.6237,32.42,4.3,mb,,141,2.055,0.73,us,us10004eii,2016-03-30T02:27:50.040Z,"155km E of Nishinoomote, Japan",earthquake,8.4,6.1,0.142,14,reviewed,us,us
2016-01-09T04:44:07.620Z,30.6046,132.7153,29.54,4.3,mb,,123,2.14,0.77,us,us10004eih,2016-03-30T02:27:50.040Z,"164km E of Nishinoomote, Japan",earthquake,4.7,5.5,0.118,20,reviewed,us,us
2016-01-08T01:00:32.400Z,30.5536,132.7512,30.7,4,mb,,142,2.19,1.37,us,us10004efu,2016-03-30T02:27:48.040Z,"169km E of Nishinoomote, Japan",earthquake,6.5,5.5,0.211,7,reviewed,us,us
2016-01-05T12:23:21.540Z,30.5581,132.8029,10,4.5,mb,,107,2.229,0.7,us,us10004e1b,2016-03-28T22:09:38.040Z,"173km E of Nishinoomote, Japan",earthquake,7.6,1.9,0.131,17,reviewed,us,us
2016-01-05T02:21:11.340Z,30.6132,132.7337,4.71,5.8,mww,,29,2.151,0.48,us,us10004ben,2016-07-08T15:55:08.273Z,"166km E of Nishinoomote, Japan",earthquake,2,3.2,,,reviewed,us,us
2016-01-04T20:17:34.000Z,32.2436,131.1595,100.11,4,mb,,95,0.91,0.6,us,us10004e0k,2016-03-28T22:09:37.040Z,"27km NW of Tsuma, Japan",earthquake,6.8,6.9,0.173,9,reviewed,us,us
2015-12-25T02:20:38.980Z,33.6127,134.4272,26.09,4.1,mb,,110,0.474,0.67,us,us100049eq,2016-03-18T01:13:00.040Z,"39km SSW of Anan, Japan",earthquake,6.3,6.3,0.151,12,reviewed,us,us
2015-12-22T16:51:41.490Z,30.4742,132.5327,10,4.5,mb,,100,2.062,0.61,us,us100048uc,2016-03-12T02:29:22.040Z,"149km E of Nishinoomote, Japan",earthquake,6.6,1.9,0.096,32,reviewed,us,us
2015-12-15T21:53:57.440Z,30.8421,131.3548,31.72,4.5,mb,,106,1.019,0.68,us,us20004hf6,2016-03-05T01:42:08.040Z,"36km ENE of Nishinoomote, Japan",earthquake,6.8,5.8,0.101,29,reviewed,us,us
2015-12-13T16:51:17.770Z,30.8547,131.3784,35,4.1,mb,,125,1.027,0.63,us,us100047wd,2016-03-05T01:42:05.040Z,"38km ENE of Nishinoomote, Japan",earthquake,7.4,2,0.145,13,reviewed,us,us
2015-12-12T22:04:01.430Z,31.23,129.3468,10,4.4,mb,,95,0.986,0.85,us,us20004gtj,2016-03-05T01:42:04.040Z,"92km W of Makurazaki, Japan",earthquake,6,1.9,0.096,31,reviewed,us,us
2015-12-08T09:28:03.570Z,30.965,130.4075,129.3,4.7,mb,,58,0.544,1.17,us,us10004539,2016-03-02T03:36:38.040Z,"34km SSE of Makurazaki, Japan",earthquake,7.7,6.8,0.081,46,reviewed,us,us
2015-12-07T16:24:24.660Z,31.3413,128.7683,10.94,4.8,mb,,97,1.449,0.61,us,us20004g5x,2016-03-02T03:36:37.040Z,"147km W of Makurazaki, Japan",earthquake,8.7,4.8,0.076,54,reviewed,us,us
2015-12-03T12:08:40.800Z,31.2596,129.4301,40.28,4.5,mb,,95,0.909,1.11,us,us1000430z,2016-03-02T03:36:29.040Z,"84km W of Makurazaki, Japan",earthquake,3.3,8.7,0.111,24,reviewed,us,us
2015-11-29T09:48:20.410Z,31.2913,129.2914,25.38,4.6,mb,,96,1.016,0.71,us,us1000420t,2016-02-25T22:33:00.040Z,"97km W of Makurazaki, Japan",earthquake,6.2,5.1,0.125,19,reviewed,us,us
2015-11-28T12:13:07.500Z,30.2947,131.3723,30.72,4.6,mb,,81,1.445,0.61,us,us100041vm,2016-02-25T22:32:58.040Z,"60km SE of Nishinoomote, Japan",earthquake,3,5.4,0.078,50,reviewed,us,us
2015-11-19T14:41:48.180Z,31.2239,128.8522,16.87,4.7,mb,,82,1.398,0.65,us,us10003zkd,2016-03-25T13:58:51.000Z,"139km W of Makurazaki, Japan",earthquake,6.1,4,0.13,18,reviewed,us,us
2015-11-18T19:56:49.210Z,31.2078,128.9892,10,4.5,mb,,78,1.287,0.53,us,us10003zd4,2016-02-13T02:08:30.040Z,"126km W of Makurazaki, Japan",earthquake,4.5,1.9,0.092,35,reviewed,us,us
2015-11-18T16:09:59.960Z,31.3715,128.9703,10,4.2,mb,,136,1.274,1.18,us,us10003zty,2016-02-13T02:08:29.040Z,"128km W of Makurazaki, Japan",earthquake,4.3,1.9,0.264,4,reviewed,us,us
2015-11-18T12:18:04.590Z,31.0852,128.5119,10,4.7,mb,,60,1.714,0.87,us,us10003z8b,2016-02-13T02:08:29.040Z,"173km W of Makurazaki, Japan",earthquake,6.1,1.9,0.096,35,reviewed,us,us
2015-11-18T04:38:50.880Z,31.3706,128.961,27.5,5.1,mb,,76,1.282,0.88,us,us10003z79,2016-03-25T13:58:39.000Z,"129km W of Makurazaki, Japan",earthquake,6.1,4.9,0.048,139,reviewed,us,us
