# t(yr) dt(yr)
0.0000000000000000e+00 0.0000000000000000e+00
9.9999999999999994e-12 9.9999999999999994e-12
6.0000000000000000e-11 5.0000000000000002e-11
3.0999999999999996e-10 2.4999999999999996e-10
1.5599999999999998e-09 1.2499999999999998e-09
7.8099999999999985e-09 6.2499999999999989e-09
3.9059999999999994e-08 3.1249999999999992e-08
1.9530999999999997e-07 1.5624999999999999e-07
9.7655999999999985e-07 7.8124999999999993e-07
4.8828099999999991e-06 3.9062499999999992e-06
2.4414059999999998e-05 1.9531249999999997e-05
1.2207030999999998e-04 9.7656249999999978e-05
6.1035155999999990e-04 4.8828124999999989e-04
1.6914657447948717e-03 1.0811141847948719e-03
1.9744679335333120e-03 2.8300218873844032e-04
2.1105926420766953e-03 1.3612470854338331e-04
2.1765486455859076e-03 6.5956003509212279e-05
2.2134870877752806e-03 3.6938442189373040e-05
2.2504255299646537e-03 3.6938442189373040e-05
2.2881241912618300e-03 3.7698661297176379e-05
2.4766174977477124e-03 1.8849330648588233e-04
2.7180922810018022e-03 2.4147478325408983e-04
2.9595670642558920e-03 2.4147478325408983e-04
3.2398469082348456e-03 2.8027984397895360e-04
3.2647379145760934e-03 2.4891006341247815e-05
3.2896289209173413e-03 2.4891006341247815e-05
3.4140839526235795e-03 1.2445503170623821e-04
3.4377295051761800e-03 2.3645552552600552e-05
3.4474636141276316e-03 9.7341089514515512e-06
3.4571977230790831e-03 9.7341089514515512e-06
3.4590290771323732e-03 1.8313540532900394e-06
3.4608604311856632e-03 1.8313540532900394e-06
3.4626351665642484e-03 1.7747353785852425e-06
3.4715088434571738e-03 8.8736768929253453e-06
3.5158772279218014e-03 4.4368384464627594e-05
3.7377191502449402e-03 2.2184192232313884e-04
3.9286284448803738e-03 1.9090929463543363e-04
3.9597582184896403e-03 3.1129773609266456e-05
3.9840949296848973e-03 2.4336711195257002e-05
4.0084316408801543e-03 2.4336711195257002e-05
4.1301151968564376e-03 1.2168355597628328e-04
4.1596159529221520e-03 2.9500756065714388e-05
4.1701020693800011e-03 1.0486116457849096e-05
4.1765966198172135e-03 6.4945504372124208e-06
4.1830911702544259e-03 6.4945504372124208e-06
4.1893389209380159e-03 6.2477506835899657e-06
4.2205776743559674e-03 3.1238753417951563e-05
4.3767714414457244e-03 1.5619376708975695e-04
4.4018575184348509e-03 2.5086076989126564e-05
4.4269435954239775e-03 2.5086076989126564e-05
4.4517864393217510e-03 2.4842843897773456e-05
4.5760006588106191e-03 1.2421421948886815e-04
4.6347532414481385e-03 5.8752582637519417e-05
4.6391659970277640e-03 4.4127555796254214e-06
4.6435787526073894e-03 4.4127555796254214e-06
4.6472952419294106e-03 3.7164893220212325e-06
4.6658776885395176e-03 1.8582446610107030e-05
4.7587899215900537e-03 9.2912233050536017e-05
5.2233510868427355e-03 4.6456116525268182e-04
5.7032158221687413e-03 4.7986473532600580e-04
6.4223964388156326e-03 7.1918061664689135e-04
6.5883612623096532e-03 1.6596482349402059e-04
6.7543260858036738e-03 1.6596482349402059e-04
6.9061070849888830e-03 1.5178099918520919e-04
6.9837033903597957e-03 7.7596305370912673e-05
7.0063721846651914e-03 2.2668794305395756e-05
7.0168071183421858e-03 1.0434933676994364e-05
7.0272420520191801e-03 1.0434933676994364e-05
7.0363443183636167e-03 9.1022663444365048e-06
7.0818556500858000e-03 4.5511331722183392e-05
7.3094123086967179e-03 2.2755665861091783e-04
7.4987705485822283e-03 1.8935823988551048e-04
7.6881287884677388e-03 1.8935823988551048e-04
7.9551562013431467e-03 2.6702741287540788e-04
8.2221836142185555e-03 2.6702741287540875e-04
8.2608484555672310e-03 3.8664841348675510e-05
8.2711017555078242e-03 1.0253299940593194e-05
8.2746466283423244e-03 3.5448728345002789e-06
8.2781915011768247e-03 3.5448728345002789e-06
8.2812225671750721e-03 3.0310659982473592e-06
8.2963778971663123e-03 1.5155329991240266e-05
8.3721545471225119e-03 7.5776649956199593e-05
8.4991141247982051e-03 1.2695957767569314e-04
8.6260737024738982e-03 1.2695957767569314e-04
8.7107528512459318e-03 8.4679148772033586e-05
8.7378008466812533e-03 2.7047995435321506e-05
8.7648488421165748e-03 2.7047995435321506e-05
8.7908126619210183e-03 2.5963819804443455e-05
8.8381457322443159e-03 4.7333070323297630e-05
8.8592447517716263e-03 2.1099019527310442e-05
8.8702962592894733e-03 1.1051507517846962e-05
8.8722665160868158e-03 1.9702567973425150e-06
8.8742367728841583e-03 1.9702567973425150e-06
8.8840880568708726e-03 9.8512839867143098e-06
8.9333444768044442e-03 4.9256419933571549e-05
8.9969870023392760e-03 6.3642525534831837e-05
9.0235124088117544e-03 2.6525406472478405e-05
9.0386526401945201e-03 1.5140231382765670e-05
9.0537928715772858e-03 1.5140231382765670e-05
9.0674377409099907e-03 1.3644869332704937e-05
9.1356620875735171e-03 6.8224346663526420e-05
9.4767838208911527e-03 3.4112173331763557e-04
9.5506799465530801e-03 7.3896125661927423e-05
9.5859478159304387e-03 3.5267869377358582e-05
9.6212156853077973e-03 3.5267869377358582e-05
9.6810786081325140e-03 5.9862922824716752e-05
9.7409415309572308e-03 5.9862922824716752e-05
1.0040256145080816e-02 2.9931461412358550e-04
1.0474124264569612e-02 4.3386811948879604e-04
1.0907992384058408e-02 4.3386811948879604e-04
1.0968105783072689e-02 6.0113399014280477e-05
1.0984489377351093e-02 1.6383594278404287e-05
1.0990278460549089e-02 5.7890831979962032e-06
1.0996067543747086e-02 5.7890831979962032e-06
1.1001104451369214e-02 5.0369076221284254e-06
1.1026288989479853e-02 2.5184538110638657e-05
1.1107457756651760e-02 8.1168767171907116e-05
1.1188626523823667e-02 8.1168767171907116e-05
1.1249401504070446e-02 6.0774980246779131e-05
1.1310176484317225e-02 6.0774980246779131e-05
1.1404337835045764e-02 9.4161350728538817e-05
1.1605258199465814e-02 2.0092036442004996e-04
1.1706699950502544e-02 1.0144175103673006e-04
1.1715479569018151e-02 8.7796185156072126e-06
1.1720581198606533e-02 5.1016295883818397e-06
