# t(yr) dt(yr)
0.0000000000000000e+00 0.0000000000000000e+00
2.5999999263272000e-06 9.9999999999999974e-07
0.0000000000000000e+00 -2.5999999263272000e-06
1.0000000000000001e-05 1.0000000000000001e-05
6.0000000000000002e-05 5.0000000000000002e-05
1.2504940480531325e-04 6.5049404805313260e-05
4.5029642883187955e-04 3.2524702402656630e-04
1.3216236084417294e-03 8.7132717960984986e-04
2.5088646572041544e-03 1.1872410487624250e-03
4.4795675706643199e-03 1.9707029134601655e-03
7.6272184120778777e-03 3.1476508414135579e-03
1.2665443776763104e-02 5.0382253646852259e-03
2.0294168334468378e-02 7.6287245577052742e-03
3.1533329995847278e-02 1.1239161661378901e-02
4.4026566183140901e-02 1.2493236187293623e-02
5.8610088318792455e-02 1.4583522135651554e-02
7.5023685320515593e-02 1.6413597001723138e-02
9.2544490390676165e-02 1.7520805070160572e-02
1.1130909692652755e-01 1.8764606535851380e-02
1.3164452729505119e-01 2.0335430368523644e-02
1.5405560242122893e-01 2.2411075126177737e-02
1.7895963615461860e-01 2.4904033733389674e-02
2.0562226395725780e-01 2.6662627802639199e-02
2.3419531541159155e-01 2.8573051454333753e-02
2.6678557577488998e-01 3.2590260363298429e-02
3.0557306482972346e-01 3.8787489054833479e-02
3.5238283224691458e-01 4.6809767417191117e-02
3.7876907353304828e-01 2.6386241286133705e-02
4.0515531481918199e-01 2.6386241286133705e-02
4.4134265926095584e-01 3.6187344441773850e-02
4.8465189490783539e-01 4.3309235646879551e-02
5.1138918002610712e-01 2.6737285118271725e-02
5.3812646514437878e-01 2.6737285118271670e-02
5.7331710245456724e-01 3.5190637310188455e-02
6.1523056677296240e-01 4.1913464318395155e-02
6.4291793333065217e-01 2.7687366557689774e-02
6.7060529988834194e-01 2.7687366557689774e-02
6.8720215000009688e-01 1.6596850111754935e-02
