# n    name           x1           x2          x3
001  PYGR  -18742.70171  13604.71461      0.00000
 002  MAVL  66743.14034  128041.66736      0.00000
 003  BLUF  -69180.23942  136058.23607      0.00000
 004  LEXA  77492.47061  222037.90995      0.00000
 005  HAAS  208167.32214  186989.12701      0.00000
 006  OUSD    806.78297  311557.38416      0.00000
 007  DUND  -1233.49390  318139.53782      0.00000
 008  KARA  255672.89296  269227.53284      0.00000
 009  CNCL  248868.26254  275363.68667      0.00000
 010  BNET  225432.82463  300949.84760      0.00000
 011  HORN  235316.91468  294733.05672      0.00000
 012  WAKA  257859.61117  278277.32625      0.00000
 013  QUAR  264004.04452  273003.79269      0.00000
 014  WAIM  133360.95761  353258.27042      0.00000
 015  MTJO  210317.82912  322127.84868      0.00000
 
