# 2004 Mw6.0 Parkfield earthquake coseismic slip model from
#
#   Bruhat L. S. Barbot and J.-P. Avouac, "Evidence for 
#   postseismic deformation of the lower crust following the 
#   2004 Mw6.0 Parkfield earthquake", J.G.R, 116(B08401), 2011
#
# Conventions and units:
#
# slip - amplitude of slip (m)
# x1   - positive north (km)
# x2   - positive east (km)
# x3   - positive down (km)
# l    - patch length in the strike direction (km)
# w    - patch width in the dip direction (km)
# str  - strike angle (degree)
# d    - dip angle (degree)
# rak  - slip rake (degree)
#
# Geometry:
#
#                 N (x1)
#                /
#               /| Strike
#   x1,x2,x3 ->@------------------------      (x2)
#              |\        p .            \ W
#              :-\      i .              \ i
#              |  \    l .                \ d
#              :90 \  S .                  \ t
#              |-Dip\  .                    \ h
#              :     \. | Rake               \
#              |      -------------------------
#              :             L e n g t h
#              Z (x3)
#              
#  n      slip        x1        x2        x3    length     width   strike      dip     rake
0001     0.064   -1860.0    4630.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0002     0.086    -420.0    3240.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0003     0.042    1020.0    1850.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0004     0.000    2450.0     465.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0005     0.000    3890.0    -924.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0006     0.000    5330.0   -2320.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0007     0.000    6770.0   -3710.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0008     0.000    8210.0   -5090.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0009     0.000    9650.0   -6480.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0010     0.000   11100.0   -7870.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0011     0.000   12500.0   -9260.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0012     0.000   14000.0  -10600.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0013     0.000   15400.0  -12000.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0014     0.000   16800.0  -13400.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0015     0.016   18300.0  -14800.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0016     0.010   19700.0  -16200.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0017     0.000   21200.0  -17600.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0018     0.000   22600.0  -19000.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0019     0.000   24000.0  -20400.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0020     0.000   25500.0  -21700.0   14000.0    2000.0    1000.0   -44.00    90.00   180.00
0021     0.094   -1860.0    4630.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0022     0.139    -420.0    3240.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0023     0.121    1020.0    1850.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0024     0.061    2450.0     465.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0025     0.011    3890.0    -924.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0026     0.000    5330.0   -2320.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0027     0.000    6770.0   -3710.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0028     0.000    8210.0   -5090.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0029     0.000    9650.0   -6480.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0030     0.000   11100.0   -7870.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0031     0.000   12500.0   -9260.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0032     0.000   14000.0  -10600.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0033     0.000   15400.0  -12000.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0034     0.002   16800.0  -13400.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0035     0.010   18300.0  -14800.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0036     0.007   19700.0  -16200.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0037     0.000   21200.0  -17600.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0038     0.000   22600.0  -19000.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0039     0.000   24000.0  -20400.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0040     0.000   25500.0  -21700.0   13000.0    2000.0    1000.0   -44.00    90.00   180.00
0041     0.115   -1860.0    4630.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0042     0.201    -420.0    3240.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0043     0.200    1020.0    1850.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0044     0.128    2450.0     465.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0045     0.042    3890.0    -924.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0046     0.000    5330.0   -2320.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0047     0.000    6770.0   -3710.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0048     0.000    8210.0   -5090.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0049     0.000    9650.0   -6480.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0050     0.000   11100.0   -7870.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0051     0.000   12500.0   -9260.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0052     0.000   14000.0  -10600.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0053     0.000   15400.0  -12000.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0054     0.000   16800.0  -13400.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0055     0.006   18300.0  -14800.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0056     0.004   19700.0  -16200.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0057     0.000   21200.0  -17600.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0058     0.000   22600.0  -19000.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0059     0.000   24000.0  -20400.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0060     0.000   25500.0  -21700.0   12000.0    2000.0    1000.0   -44.00    90.00   180.00
0061     0.136   -1860.0    4630.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0062     0.259    -420.0    3240.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0063     0.279    1020.0    1850.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0064     0.202    2450.0     465.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0065     0.082    3890.0    -924.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0066     0.000    5330.0   -2320.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0067     0.000    6770.0   -3710.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0068     0.000    8210.0   -5090.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0069     0.000    9650.0   -6480.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0070     0.000   11100.0   -7870.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0071     0.000   12500.0   -9260.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0072     0.000   14000.0  -10600.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0073     0.001   15400.0  -12000.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0074     0.000   16800.0  -13400.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0075     0.002   18300.0  -14800.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0076     0.001   19700.0  -16200.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0077     0.000   21200.0  -17600.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0078     0.000   22600.0  -19000.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0079     0.000   24000.0  -20400.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0080     0.000   25500.0  -21700.0   11000.0    2000.0    1000.0   -44.00    90.00   180.00
0081     0.153   -1860.0    4630.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0082     0.309    -420.0    3240.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0083     0.354    1020.0    1850.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0084     0.281    2450.0     465.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0085     0.138    3890.0    -924.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0086     0.017    5330.0   -2320.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0087     0.000    6770.0   -3710.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0088     0.000    8210.0   -5090.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0089     0.000    9650.0   -6480.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0090     0.000   11100.0   -7870.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0091     0.000   12500.0   -9260.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0092     0.013   14000.0  -10600.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0093     0.015   15400.0  -12000.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0094     0.000   16800.0  -13400.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0095     0.000   18300.0  -14800.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0096     0.000   19700.0  -16200.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0097     0.000   21200.0  -17600.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0098     0.000   22600.0  -19000.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0099     0.000   24000.0  -20400.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0100     0.000   25500.0  -21700.0   10000.0    2000.0    1000.0   -44.00    90.00   180.00
0101     0.165   -1860.0    4630.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
0102     0.344    -420.0    3240.0    9000.0    2000.0    1000.0   -44.00    90.00   180.00
